Go.	Va !	CC-BY 2.0 (France) Attribution: tatoeba.org #2877272 (CM) & #1158250 (Wittydev)
Hi.	Salut !	CC-BY 2.0 (France) Attribution: tatoeba.org #538123 (CM) & #509819 (Aiji)
Hi.	Salut.	CC-BY 2.0 (France) Attribution: tatoeba.org #538123 (CM) & #4320462 (gillux)
Run!	Cours !	CC-BY 2.0 (France) Attribution: tatoeba.org #906328 (papabear) & #906331 (sacredceltic)
Run!	Courez !	CC-BY 2.0 (France) Attribution: tatoeba.org #906328 (papabear) & #906332 (sacredceltic)
Who?	Qui ?	CC-BY 2.0 (France) Attribution: tatoeba.org #2083030 (CK) & #4366796 (gillux)
Wow!	Ça alors !	CC-BY 2.0 (France) Attribution: tatoeba.org #52027 (Zifre) & #374631 (zmoo)
Fire!	Au feu !	CC-BY 2.0 (France) Attribution: tatoeba.org #1829639 (Spamster) & #4627939 (sacredceltic)
Help!	À l'aide !	CC-BY 2.0 (France) Attribution: tatoeba.org #435084 (lukaszpp) & #128430 (sysko)
Jump.	Saute.	CC-BY 2.0 (France) Attribution: tatoeba.org #631038 (Shishir) & #2416938 (Phoenix)
Stop!	Ça suffit !	CC-BY 2.0 (France) Attribution: tatoeba.org #448320 (FeuDRenais) & #516030 (Goofy)
Stop!	Stop !	CC-BY 2.0 (France) Attribution: tatoeba.org #448320 (FeuDRenais) & #626567 (U2FS)
Stop!	Arrête-toi !	CC-BY 2.0 (France) Attribution: tatoeba.org #448320 (FeuDRenais) & #1157663 (sacredceltic)
Wait!	Attends !	CC-BY 2.0 (France) Attribution: tatoeba.org #1744314 (belgavox) & #1157682 (sacredceltic)
Wait!	Attendez !	CC-BY 2.0 (France) Attribution: tatoeba.org #1744314 (belgavox) & #1157684 (sacredceltic)
Go on.	Poursuis.	CC-BY 2.0 (France) Attribution: tatoeba.org #2230774 (CK) & #588132 (sacredceltic)
Go on.	Continuez.	CC-BY 2.0 (France) Attribution: tatoeba.org #2230774 (CK) & #6463161 (Aiji)
Go on.	Poursuivez.	CC-BY 2.0 (France) Attribution: tatoeba.org #2230774 (CK) & #6463162 (Aiji)
Hello!	Bonjour !	CC-BY 2.0 (France) Attribution: tatoeba.org #373330 (CK) & #373345 (Aiji)
Hello!	Salut !	CC-BY 2.0 (France) Attribution: tatoeba.org #373330 (CK) & #509819 (Aiji)
I see.	Je comprends.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111796 (CK) & #1511205 (Hikari)
I try.	J'essaye.	CC-BY 2.0 (France) Attribution: tatoeba.org #20776 (CK) & #1133630 (nimfeo)
I won!	J'ai gagné !	CC-BY 2.0 (France) Attribution: tatoeba.org #2005192 (CK) & #2005252 (sacredceltic)
I won!	Je l'ai emporté !	CC-BY 2.0 (France) Attribution: tatoeba.org #2005192 (CK) & #2005253 (sacredceltic)
I won.	J’ai gagné.	CC-BY 2.0 (France) Attribution: tatoeba.org #5828608 (CK) & #7700885 (sacredceltic)
Oh no!	Oh non !	CC-BY 2.0 (France) Attribution: tatoeba.org #1299275 (CK) & #1299284 (sacredceltic)
Attack!	Attaque !	CC-BY 2.0 (France) Attribution: tatoeba.org #1972610 (CK) & #1973495 (sacredceltic)
Attack!	Attaquez !	CC-BY 2.0 (France) Attribution: tatoeba.org #1972610 (CK) & #1973496 (sacredceltic)
Cheers!	Santé !	CC-BY 2.0 (France) Attribution: tatoeba.org #487006 (human600) & #9385 (sacredceltic)
Cheers!	À votre santé !	CC-BY 2.0 (France) Attribution: tatoeba.org #487006 (human600) & #11581 (Lulantis)
Cheers!	Merci !	CC-BY 2.0 (France) Attribution: tatoeba.org #487006 (human600) & #374826 (sysko)
